internal_track_id,display_id,assay_tube_index,physical_vial_index,label,start_frame_index,end_frame_index,start_time_s,end_time_s,duration_s,n_samples,n_detected_samples,crossing_detected,unique_crossing_detected,unique_crossing_event_id,first_crossing_frame_index,first_crossing_time_s,threshold_distance_px,max_height_px,mean_height_px,max_vertical_velocity_px_s_raw,mean_vertical_velocity_px_s_raw,max_vertical_velocity_px_s_smoothed,mean_vertical_velocity_px_s_smoothed,max_speed_px_s_raw,mean_speed_px_s_raw,max_speed_px_s_smoothed,mean_speed_px_s_smoothed,threshold_distance_mm,max_height_mm,mean_height_mm,max_vertical_velocity_mm_s_raw,mean_vertical_velocity_mm_s_raw,max_vertical_velocity_mm_s_smoothed,mean_vertical_velocity_mm_s_smoothed,max_speed_mm_s_raw,mean_speed_mm_s_raw,max_speed_mm_s_smoothed,mean_speed_mm_s_smoothed
7,1,4,4,"fly (4,1)",0,48,0.0,9.6,9.6,47,47,True,True,5.0,31.0,6.2,500.0,584.025,364.8950744263387,152.5198938992041,57.980227844997444,147.14393449687554,56.99580485146142,152.51989908891687,60.890926571451246,147.2993515608063,59.93305677810362,68.14310051107326,79.59454855195911,49.73016346525911,20.7863569198234,7.901904987393177,20.053687836030743,7.767741717405306,20.78635737465355,8.224912046933536,20.067314284598776,8.095731391182724
8,2,4,4,"fly (4,2)",0,49,0.0,9.8,9.8,50,50,False,False,,,,500.0,403.4303278688525,222.5416897933773,102.5510204081626,38.27306359521335,88.48473748473735,37.62379538166912,122.75909614065364,53.96690420340549,102.35709730787208,53.039912411886455,68.14310051107326,54.981986762364905,30.329361470988385,13.9762889823731,5.216090438870644,12.059248720236775,5.127604140602265,15.217948183753775,6.800793790765859,13.236457986287368,6.684054743007998
9,3,4,4,"fly (4,3)",0,47,0.0,9.4,9.4,48,48,True,True,6.0,42.0,8.4,500.0,583.070707070707,295.5994105160342,109.31420140871911,58.222363751683936,99.48384338158932,56.986346435415406,154.32187964480593,70.7735598065108,127.58489003670354,69.2989738435921,68.14310051107326,79.46449159396349,40.286120683616254,14.898017227764116,7.934904770246533,13.558275077559024,7.766452665814707,17.98009722511442,9.204257487237827,14.850883779242613,9.011459190550022
10,4,4,4,"fly (4,4)",0,38,0.0,7.6,7.6,39,39,False,False,,,,500.0,406.3485714285714,323.6721949643587,91.17970728437362,32.624561403508764,77.52424049880932,32.1035472107708,96.10850444941279,50.1421944378367,79.94445881475679,49.18434439044422,68.14310051107326,55.37970309077634,44.112053828191996,12.426535916098612,4.446277533697959,10.565484224709948,4.375270488691081,12.862525870932243,6.345358332001343,10.779199572982526,6.2223016014277714
11,5,4,4,"fly (4,5)",0,38,0.0,7.6,7.6,37,37,True,True,3.0,15.0,3.0,500.0,586.1764705882354,479.535289845765,155.1949643493754,59.702847390893275,142.31225296442668,58.65267380903774,155.45852710734704,76.29073209715779,142.87531523257806,74.9540374300312,68.14310051107326,79.88776430504059,65.35404290913324,21.15093210894385,8.136674261109818,19.39519631542443,7.993550093224906,21.174037931562705,9.915086080893063,19.444599636057518,9.741711144160211
12,6,4,4,"fly (4,6)",0,32,0.0,6.4,6.4,30,30,True,True,4.0,25.0,5.0,500.0,585.6363636363636,398.7950542848105,106.00860588214701,59.210020966896586,90.34437303720976,57.576620437119026,106.01418183171583,59.9661909659443,91.24496826457595,58.31633657595933,68.14310051107326,79.81415518042434,54.350262934897515,14.447510171331805,8.069508820019976,12.312691384968971,7.846898867069029,14.447998856141908,8.136328384135256,12.392166343622689,7.912273409534326
13,7,4,4,"fly (4,7)",0,9,0.0,1.8,1.8,10,10,False,False,,,,500.0,433.921875,328.0735843355443,149.01010909818794,106.18514284101175,138.63963895631053,97.35249244280635,152.18883507083765,108.21465009674496,141.21679740562354,99.21811231880802,68.14310051107326,59.13756388415673,44.71190246481012,20.308021682887638,14.471569722795468,18.894669704437554,13.267801355067302,20.587653742931206,14.650415736415333,19.12129246341125,13.432199782184261
14,8,4,4,"fly (4,8)",0,1,0.0,0.2,0.2,2,2,False,False,,,,500.0,330.9620253164557,328.66362135388,-22.984039625756907,-22.984039625756907,-11.492019812878453,-11.492019812878453,23.132417736252332,23.132417736252332,11.566208868126166,11.566208868126166,68.14310051107326,45.10555711297523,44.79231636850153,-3.13240744473692,-3.13240744473692,-1.56620372236846,-1.56620372236846,3.1454263292251174,3.1454263292251174,1.5727131646125587,1.5727131646125587
16,9,4,4,"fly (4,9)",1,40,0.2,8.0,7.8,35,35,True,True,1.0,6.0,1.2,500.0,586.0714285714286,557.6545396758294,195.24271844660183,31.218691446173064,174.49428370992246,31.077877166319507,200.30709762379664,48.131158020708625,179.28860720380774,47.54583960854389,68.14310051107326,79.87344852762229,76.00061869517265,26.608888374323925,4.254676858081509,23.781163026905954,4.235485814830598,27.054755094678825,6.176397573232449,24.20401876335249,6.105524900651396
17,10,4,4,"fly (4,10)",2,11,0.4,2.2,1.8000000000000003,10,10,True,True,2.0,9.0,1.8,500.0,575.1818181818182,467.75184834721784,145.60044893378293,103.28368430063347,145.3002244668914,93.93911871351256,165.35260105688437,125.37428699193384,157.70264220423687,114.40630007151401,68.14310051107326,78.389344897011,63.74812243232954,19.84333205230428,14.076140960904048,19.802415600257774,12.802605616833057,21.195455254676634,16.13997000131135,19.809231436994796,14.715278507667893
