internal_track_id,display_id,assay_tube_index,physical_vial_index,label,start_frame_index,end_frame_index,start_time_s,end_time_s,duration_s,n_samples,n_detected_samples,crossing_detected,unique_crossing_detected,unique_crossing_event_id,first_crossing_frame_index,first_crossing_time_s,threshold_distance_px,max_height_px,mean_height_px,max_vertical_velocity_px_s_raw,mean_vertical_velocity_px_s_raw,max_vertical_velocity_px_s_smoothed,mean_vertical_velocity_px_s_smoothed,max_speed_px_s_raw,mean_speed_px_s_raw,max_speed_px_s_smoothed,mean_speed_px_s_smoothed
6,1,2,2,"fly (2,1)",0,47,0.0,9.4,9.4,28,28,False,False,,,,298.0,141.375,87.8523596208512,138.35664335664364,-1.7096957826124457,44.25747863247857,-1.2395757112039887,138.37268049419862,33.299149895717456,96.45614310475717,32.548900843584505
7,2,2,2,"fly (2,2)",0,1,0.0,0.2,0.2,2,2,False,False,,,,298.0,141.72727272727275,106.9969696969697,347.3030303030305,347.3030303030305,173.65151515151524,173.65151515151524,347.35590653318326,347.35590653318326,173.67795326659163,173.67795326659163
8,1,3,3,"fly (3,1)",0,23,0.0,4.6,4.6,24,24,False,False,,,,299.0,16.815340909090878,5.165075613810676,32.26003787878764,0.06989039781965575,18.66332328385889,0.3725424012861458,45.14841795108149,8.579802982011433,30.236125800993193,7.961137536141769
9,2,3,3,"fly (3,2)",0,49,0.0,9.8,9.8,50,50,True,True,5.0,25.0,5.0,299.0,401.4308510638298,306.1530287124708,81.6437092895665,19.65581749941355,64.3741328387938,19.31722129815554,83.85121888949692,21.403012314482247,65.83985106945885,21.023850953716902
24,3,3,3,"fly (3,3)",16,49,3.2,9.8,6.6000000000000005,31,31,False,False,,,,299.0,264.7799227799228,169.356114782179,103.16326530612221,37.1121416007028,76.26653273062142,35.920669525042996,103.27232623149543,58.1029744213148,99.21230810841739,56.25918068918417
25,4,3,3,"fly (3,4)",16,17,3.2,3.4,0.19999999999999973,2,2,False,False,,,,299.0,67.74285714285713,67.69087301587302,-0.5198412698410955,-0.5198412698410955,-0.25992063492054773,-0.25992063492054773,0.8114084815059367,0.8114084815059367,0.40570424075296835,0.40570424075296835
26,5,3,3,"fly (3,5)",16,17,3.2,3.4,0.19999999999999973,2,2,False,False,,,,299.0,110.72727272727275,110.22727272727275,5.000000000000007,5.000000000000007,2.5000000000000036,2.5000000000000036,5.000000000000007,5.000000000000007,2.5000000000000036,2.5000000000000036
27,6,3,3,"fly (3,6)",16,17,3.2,3.4,0.19999999999999973,2,2,False,False,,,,299.0,139.74074074074076,139.491991991992,2.4874874874876727,2.4874874874876727,1.2437437437438363,1.2437437437438363,2.487613364710284,2.487613364710284,1.243806682355142,1.243806682355142
28,7,3,3,"fly (3,7)",16,16,3.2,3.2,0.0,1,1,False,False,,,,299.0,160.73684210526312,160.73684210526312,,,0.0,0.0,,,0.0,0.0
29,8,3,3,"fly (3,8)",16,16,3.2,3.2,0.0,1,1,False,False,,,,299.0,197.23529411764707,197.23529411764707,,,0.0,0.0,,,0.0,0.0
31,9,3,3,"fly (3,9)",38,49,7.6,9.8,2.200000000000001,12,12,False,False,,,,299.0,16.995594713656374,12.526266403348254,35.10103516732838,5.207131021084456,21.698084212683074,4.948556680036275,47.28919484828465,14.80306527272051,35.95202441529407,14.29393215502644
32,10,3,3,"fly (3,10)",38,46,7.6,9.2,1.5999999999999996,9,9,False,False,,,,299.0,70.23076923076928,61.21879026036216,132.3096774193549,18.493840144230802,43.50218413978492,16.196598437744296,132.35633261644276,20.208339385012614,44.95303988792381,17.788175781707867
10,1,4,4,"fly (4,1)",0,43,0.0,8.6,8.6,37,37,False,False,,,,299.0,189.72727272727275,36.015978749019844,149.855319148936,8.914690064096098,104.48923016311986,8.498872710875537,149.95633295662458,23.565541071467518,104.56318045445761,22.75446224539001
11,2,4,4,"fly (4,2)",0,0,0.0,0.0,0.0,1,1,False,False,,,,299.0,32.85714285714289,32.85714285714289,,,0.0,0.0,,,0.0,0.0
12,3,4,4,"fly (4,3)",0,49,0.0,9.8,9.8,43,43,False,False,,,,299.0,98.34883720930225,53.94408359515633,118.84615384615387,-4.456821534030051,59.423076923076934,-4.007069726938166,154.97547209955334,24.017476309949206,124.32793049834306,23.98124708140322
13,4,4,4,"fly (4,4)",0,32,0.0,6.4,6.4,23,23,False,False,,,,299.0,170.23076923076928,126.21280645532853,155.39651837524178,13.248724499090379,95.78905547833948,12.7781738664794,155.45935780585785,26.81168124550666,129.39824740162712,25.847171054365198
14,5,4,4,"fly (4,5)",0,2,0.0,0.4,0.4,3,3,False,False,,,,299.0,81.21590909090912,70.66376456876458,-26.27692307692314,-46.13977272727283,-30.75984848484855,-36.63364413364421,66.09054483289589,46.3071598927683,46.3071598927683,36.74129074590948
15,6,4,4,"fly (4,6)",0,2,0.0,0.4,0.4,3,3,False,False,,,,299.0,122.97674418604652,116.24819729522547,41.85093404498673,29.538634658664478,29.538634658664478,19.281408466870634,41.851162227892246,29.539400791677153,29.539400791677153,19.28205144350876
16,7,4,4,"fly (4,7)",0,19,0.0,3.8,3.8,15,15,False,False,,,,299.0,170.73333333333335,155.38895434659554,131.19565217391315,2.4405701987223885,45.785695115405275,2.271368073085985,131.213335878684,34.13963673838966,64.68867881795906,31.857229747996143
22,8,4,4,"fly (4,8)",13,13,2.6,2.6,0.0,1,1,False,False,,,,299.0,260.6923076923076,260.6923076923076,,,0.0,0.0,,,0.0,0.0
23,9,4,4,"fly (4,9)",14,49,2.8,9.8,7.000000000000001,36,36,False,False,,,,299.0,102.24905660377362,96.05007809885224,143.84667622425115,0.48595337716672293,45.40506746196016,0.22884690164225446,143.9570808840477,29.77292293667567,94.53303290708845,28.97798530877064
30,10,4,4,"fly (4,10)",31,49,6.2,9.8,3.6000000000000005,19,19,False,False,,,,299.0,164.0270270270271,156.4328037641557,37.51573564122717,-1.0258581752484268,15.06944444444418,-1.6786368540680343,49.64733911900868,15.67776030131699,35.90451003801096,14.901039969276072
